player,kill_per_round,death_per_round,KD_ratio,acs,entry_success_rate,entry_diff,first_kills,clutch_per_round,clutch_weight,multikill_score,util_score,assists,defuses,plants,econ_rating,eco_rounds_pct,full_buy_pct,hs_pct,kast_pct,win_rate,n_maps_played,cluster_raw,cluster,archetype,is_outlier,pca1,pca2,tsne1,tsne2
2GE,0.6183394133445093,0.6791271681717606,0.9870682944537157,174.08928571428572,0.3159863945578231,-0.5357142857142857,1.1785714285714286,0.030445052795085487,0.6607142857142857,4.017857142857143,2.0892857142857144,7.964285714285714,0.2857142857142857,1.8035714285714286,47.125,0.15372489423457636,0.0,26.375,71.64285714285714,0.44642857142857145,56,1,1,🧠 Strategic IGL/Support,False,1.4085980140773486,-1.8278087065647441,-3.965506,-5.8381863
5CM,0.5373586798055098,0.7510797632045444,0.7265883789413201,163.66666666666666,0.5117460317460317,0.0,2.1333333333333333,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,21.9,68.86666666666666,0.2,15,0,0,⚔️ Entry Fragger,False,-6.1509970493494865,-0.921139414510874,-38.237118,-0.52040666
7-Sep,0.6129032199684373,0.6955888846873501,1.3874135754166714,172.92307692307693,0.4588522588522589,-0.7692307692307693,2.3846153846153846,0.020289855072463767,0.5384615384615384,3.076923076923077,0.9230769230769231,4.076923076923077,0.5384615384615384,0.38461538461538464,42.92307692307692,0.16371281105935837,0.0,22.307692307692307,72.92307692307692,0.46153846153846156,13,1,1,🧠 Strategic IGL/Support,True,1.1302913347890573,-0.047351635767479944,13.476,8.636701
9st,0.5588733931125235,0.7917697741067307,0.710639068891778,166.08333333333334,0.31875000000000003,-1.1666666666666667,1.8333333333333333,0.014204545454545456,0.3333333333333333,3.6666666666666665,3.3333333333333335,10.416666666666666,0.25,3.0833333333333335,39.166666666666664,0.13490012403055882,0.0,25.666666666666668,70.66666666666667,0.4166666666666667,12,1,1,🧠 Strategic IGL/Support,True,0.3947634441539356,-3.2443931301953315,-5.849734,-8.131632
AAAAY,0.7176355047191877,0.679928117341052,1.1249055867554607,195.00709219858157,0.471420128335022,0.04964539007092199,1.1134751773049645,0.0019294304215673318,0.0425531914893617,0.5886524822695035,0.3829787234042553,5.212765957446808,0.06382978723404255,0.3191489361702128,5.680851063829787,0.01763648422200445,0.0,38.02127659574468,71.19503546099291,0.46099290780141844,141,0,0,⚔️ Entry Fragger,False,-5.156533961793265,0.5311763626508879,-36.74277,3.481749
AAK,0.7276442341679216,0.7487482644205763,1.0403922453987633,208.3684210526316,0.28195488721804507,-1.5,1.0,0.0,0.0,0.0,0.0,3.736842105263158,0.0,0.0,0.0,0.0,0.0,26.5,72.0,0.3157894736842105,19,0,0,⚔️ Entry Fragger,False,-6.157393972072478,-1.117281095043291,-33.731956,-2.8782861
AC,0.6877467290280463,0.6872375648003677,1.0417343897824742,191.90625,0.5140625,-0.0625,1.125,0.002976190476190476,0.0625,0.375,0.09375,8.75,0.03125,0.0625,6.625,0.037203557312252965,0.0,27.625,79.4375,0.40625,32,0,0,⚔️ Entry Fragger,False,-4.829916694489048,0.33166352740594846,-33.42785,5.131645
ANDY,0.4460488041370394,0.8640298427063132,0.5157273282273281,139.0,0.24206349206349206,-2.1666666666666665,1.5,0.0,0.0,2.1666666666666665,0.5,4.333333333333333,0.3333333333333333,0.16666666666666666,38.333333333333336,0.1798225059254471,0.0,19.333333333333332,52.0,0.0,6,1,1,🧠 Strategic IGL/Support,True,0.2929943690754273,-5.374810437891931,0.019245673,-14.196079
ANGE1,0.5779432366172123,0.7423598002085383,0.8228346985935838,168.7448275862069,0.46619177757108793,-0.2827586206896552,2.220689655172414,0.013029545964525843,0.296551724137931,3.503448275862069,1.910344827586207,6.641379310344828,0.2896551724137931,1.6206896551724137,43.59310344827586,0.14152611652629057,0.0,32.213793103448275,68.1103448275862,0.496551724137931,145,1,1,🧠 Strategic IGL/Support,False,0.5066674937165129,-1.1841007229423988,4.298866,-7.265926
AYRIN,0.591125089444468,0.6962802083814658,0.9104320360780231,170.1153846153846,0.4272435897435897,-0.46153846153846156,1.3076923076923077,0.03861499641382533,0.7692307692307693,3.769230769230769,2.423076923076923,5.846153846153846,0.6538461538461539,1.7692307692307692,46.19230769230769,0.17121789808363733,0.0,19.846153846153847,68.11538461538461,0.38461538461538464,26,1,1,🧠 Strategic IGL/Support,True,2.211377866367929,-1.8062277082548506,-1.2175733,-5.6899576
