player,team,maps_played,avg_acs,avg_vlr,avg_kd,avg_impact,pred_impact,win_rate,avg_first_kills,avg_clutch,avg_hs,rank
XiaoFei,Night Wings Gaming,5,209.0,1.0366666666666666,1.0590645601675013,9804779.212778213,9.801749e+06,0.4166666666666667,1.6666666666666667,0.06536519036519037,37.916666666666664,1
Ichiro,Dragon Ranger Gaming,6,197.46666666666667,1.1816666666666664,1.084423436041083,8304473.943300614,8.2984245e+06,0.5333333333333333,1.5666666666666667,0.055363155363155364,27.566666666666666,2
Leviathan,FULL SENSE,5,190.66666666666666,0.9733333333333333,1.0558370661989083,7912745.7606549775,7.916148e+06,0.4166666666666667,1.0,0.0527516343305817,40.333333333333336,3
zeek,Team Heretics,7,199.1875,0.93625,0.9549355158730158,7129957.807468437,7.132034e+06,0.25,1.9375,0.047533048038562745,27.875,4
n1zzy,Team Secret,5,189.6153846153846,0.9592307692307693,1.0250888817065287,6947645.892558353,6.949246e+06,0.3076923076923077,2.230769230769231,0.0463176351923155,41.61538461538461,5
takej,DetonatioN FocusMe,11,177.56521739130434,0.8908695652173912,0.8734596999521619,6910588.902202259,6.912983e+06,0.08695652173913043,1.7826086956521738,0.04607058897340227,35.34782608695652,6
Shao,Natus Vincere,64,187.87579617834396,1.0621019108280254,1.1614638035003448,6793268.220607271,6.7978295e+06,0.49044585987261147,1.5095541401273886,0.04528845047761705,33.5796178343949,7
gagaaaa,Douyu Gaming,5,197.9,1.004,1.0277380952380952,6744746.185508503,6.7452895e+06,0.4,1.4,0.04496497038057141,21.6,8
v1c,Cloud9,26,197.01639344262296,1.0926229508196723,1.240533223170385,6719233.001847835,6.717048e+06,0.5245901639344263,1.7540983606557377,0.04479488213558726,29.721311475409838,9
lz,2Game Esports,12,175.14285714285714,0.8682142857142857,0.8812531830914184,6603224.070704459,6.60924e+06,0.25,1.7857142857142858,0.04402149017501738,40.5,10
CLZ,ZETA DIVISION,12,165.75,0.8785714285714287,0.8656644456028025,6464663.765810576,6.4649985e+06,0.39285714285714285,1.25,0.04309775482952992,33.142857142857146,11
BerserX,BOOM Esports,17,194.675,0.99825,1.1178261435846575,6459949.625593716,6.461248e+06,0.35,1.925,0.04306632651366969,24.35,12
Rosé,BBL Esports,7,164.75,0.826,0.8538250171610147,6388176.443425732,6.3798885e+06,0.6,1.2,0.042587839483619536,27.75,13
dos9,BOOM Esports,18,203.6590909090909,1.1120454545454546,1.1676549301505323,6375613.809054217,6.3716625e+06,0.38636363636363635,1.5681818181818181,0.042504087579953505,29.5,14
PxS,2Game Esports,6,167.35714285714286,0.875,0.8449129522990646,6353699.764189613,6.342287e+06,0.2857142857142857,1.7142857142857142,0.04235799490941022,27.285714285714285,15
Loita,BBL Esports,7,188.75,1.08,1.1239319381598794,6273996.237655157,6.280825e+06,0.6,1.15,0.041826637405534293,38.4,16
trent,G2 Esports,83,197.9158878504673,1.1219158878504674,1.1954969219774563,6256230.373479253,6.254573e+06,0.6355140186915887,1.5560747663551402,0.041708197994263715,28.39252336448598,17
skuba,NRG,29,193.80769230769232,1.0812820512820513,1.2174864263673582,6007537.069692572,6.0119545e+06,0.6282051282051282,1.5897435897435896,0.04005024262218651,27.987179487179485,18
Papi,Global Esports,13,165.53333333333333,0.8859999999999999,0.9347394109158815,5967575.743649104,5.9663765e+06,0.3,1.2333333333333334,0.039783834586466164,30.366666666666667,19
Serial,Team Liquid,12,164.48387096774192,0.9075806451612903,0.9712591277581789,5938041.969509774,5.9388565e+06,0.5483870967741935,1.2580645161290323,0.039586942771498504,39.33870967741935,20
nataNk,Gentle Mates,20,210.08163265306123,1.0040816326530613,1.0768468320826563,5888219.657957509,5.8889815e+06,0.3673469387755102,2.7551020408163267,0.03925479332172902,26.836734693877553,21
DH,T1,12,194.30769230769232,1.0646153846153845,1.047054545736077,5878671.558630585,5.883384e+06,0.5,1.7692307692307692,0.03919113949478322,37.15384615384615,22
reazy,BBL Esports,12,161.82142857142858,0.8560714285714285,0.8426484493932527,5842160.143844599,5.8420465e+06,0.39285714285714285,0.9285714285714286,0.038947730815507675,30.321428571428573,23
AYRIN,Global Esports,11,170.1153846153846,0.8646153846153847,0.9104320360780231,5792250.01089851,5.7964265e+06,0.38461538461538464,1.3076923076923077,0.03861499641382533,19.846153846153847,24
Ivy,Nongshim RedForce,27,186.42253521126761,1.036338028169014,1.1573556560030391,5614955.214683212,5.6130335e+06,0.6197183098591549,1.4929577464788732,0.03743303035847575,31.295774647887324,25
moose,Cloud9,12,172.06451612903226,0.957741935483871,1.055773788197887,5552556.544599685,5.554154e+06,0.45161290322580644,1.6129032258064515,0.037017039625116516,24.70967741935484,26
Zest,DRX,26,176.3108108108108,0.939054054054054,0.9828851778155183,5472712.101268015,5.4746845e+06,0.4189189189189189,1.3243243243243243,0.036484743486863556,32.08108108108108,27
hiroronn,ZETA DIVISION,15,172.87179487179486,0.875897435897436,0.894269210960685,5463266.296818321,5.4619505e+06,0.41025641025641024,1.5384615384615385,0.03642177171925455,30.41025641025641,28
adverso,VISA KRÜ(KRÜ Esports),17,178.84615384615384,0.8925641025641026,0.8753494431661852,5465200.087522668,5.4597365e+06,0.41025641025641024,1.2820512820512822,0.03643466360896495,20.205128205128204,29
runi,Cloud9,27,179.3450704225352,0.9909859154929578,1.0207536498661733,5447806.978396618,5.4533015e+06,0.5492957746478874,1.295774647887324,0.03631870922238515,30.197183098591548,30
jakee,Cloud9,19,188.8877551020408,0.9854081632653062,1.0001250183723174,5422765.747502938,5.4263705e+06,0.5918367346938775,1.7551020408163265,0.03615176760304377,30.183673469387756,31
fl1pzjder,Rex Regum Qeon,20,176.9795918367347,0.9185714285714285,0.9137194935624579,5430143.39077311,5.4238225e+06,0.4489795918367347,1.6734693877551021,0.03620095216994847,26.959183673469386,32
yatsuka,DetonatioN FocusMe,7,183.5625,0.91375,0.9732280119905894,5405371.123767,5.402364e+06,0.5,2.9375,0.036035803441409844,30.0,33
Persia,Nongshim RedForce,19,182.79591836734693,1.0385714285714285,1.0696858610360853,5387403.797281195,5.385522e+06,0.5306122448979592,1.5510204081632653,0.03591602112291853,27.46938775510204,34
gobera,2Game Esports,12,176.78571428571428,0.8550000000000001,0.886453634944347,5391493.680547833,5.381655e+06,0.25,1.2857142857142858,0.03594328757143883,28.964285714285715,35
RgLMeister,MIBR,21,177.3125,0.9343750000000001,0.903684569447437,5379578.350986418,5.3809195e+06,0.2916666666666667,1.0208333333333333,0.035863851960819926,25.020833333333332,36
AsLanM4shadoW,BBL Esports,11,199.17857142857142,0.9375,1.0004193749024577,5348996.381647406,5.3433855e+06,0.35714285714285715,1.6071428571428572,0.035659971770628844,26.535714285714285,37
baddyG,Movistar KOI(KOI),5,192.0,0.9471428571428572,0.9486380158123856,5338044.904350928,5.336776e+06,0.35714285714285715,1.8571428571428572,0.03558696205755029,23.857142857142858,38
C0M,LEVIATÁN,80,178.7962085308057,0.9822274881516587,1.0313103975365725,5324464.482296848,5.3253005e+06,0.5592417061611374,1.5213270142180095,0.035496425859541075,23.14218009478673,39
supamen,Evil Geniuses,34,188.0379746835443,0.9730379746835444,1.0399793720516182,5301035.539536323,5.302855e+06,0.45569620253164556,1.8227848101265822,0.03534023281746879,38.177215189873415,40
sheydos,KOI,40,177.16494845360825,1.0103092783505154,1.0939280488979668,5301243.633533412,5.300713e+06,0.32989690721649484,1.092783505154639,0.03534162015867869,27.587628865979383,41
BeYN,DRX,50,175.06617647058823,0.9820588235294118,1.0209755085107934,5242631.259857474,5.2436995e+06,0.5735294117647058,1.2941176470588236,0.0349508711470083,27.235294117647058,42
xffero,Rex Regum Qeon,61,196.3231707317073,1.0346951219512195,1.140502943932175,5225767.2885516705,5.2278525e+06,0.4878048780487805,1.6402439024390243,0.03483844416986085,28.829268292682926,43
R1ckLee,Weibo Gaming,7,180.6875,0.866875,0.9853324924774228,5157971.006709411,5.158002e+06,0.5,2.5,0.03438646950875211,22.3125,44
AvovA,Apeks,23,167.40350877192984,0.8935087719298246,0.844147951201479,5142538.244879561,5.1422855e+06,0.2631578947368421,1.2456140350877194,0.03428358479106437,29.280701754385966,45
Brave,BBL Esports,23,193.64285714285714,0.9546428571428571,1.0076951866349533,5132206.475364132,5.128868e+06,0.375,1.9464285714285714,0.03421470569246298,34.017857142857146,46
yetujey,FUT Esports,46,199.29090909090908,1.0410000000000001,1.1534597295044506,5115937.901864862,5.118259e+06,0.45454545454545453,2.1545454545454548,0.03410624824397937,25.79090909090909,47
MONSTEERR,Movistar KOI(KOI),5,196.35714285714286,0.9678571428571429,0.9939092116419627,5098328.4873737395,5.098307e+06,0.35714285714285715,1.5714285714285714,0.03398885245797924,29.142857142857142,48
wayne,Team Liquid,10,188.52,1.0192,1.106378661586092,5102114.212033509,5.097085e+06,0.6,1.36,0.03401409048467872,33.76,49
NaturE,Evil Geniuses,29,178.38235294117646,0.9136764705882353,0.8764019134232893,5071406.194106452,5.073839e+06,0.45588235294117646,1.1470588235294117,0.03380937097980501,26.83823529411765,50
crashies,FNATIC,80,186.28708133971293,1.0395215311004784,1.1103657694179225,5060141.82356438,5.065446e+06,0.5741626794258373,1.1770334928229664,0.033734274596321265,31.023923444976077,51
eeiu,100 Thieves,48,194.075,1.1051666666666666,1.2399466535428223,5052621.741941377,5.05191e+06,0.5333333333333333,1.1,0.03368414045397825,31.591666666666665,52
Less,LOUD,67,213.17514124293785,1.1281920903954803,1.2818134405645614,5049473.8899713745,5.048024e+06,0.5480225988700564,1.807909604519774,0.03366315443215464,28.757062146892654,53
mazin,FURIA,30,162.15714285714284,0.8607142857142858,0.8782746418947937,5037345.373404315,5.0357695e+06,0.37142857142857144,1.3857142857142857,0.03358229900698604,28.857142857142858,54
